tree_id	leaves_num	depth	nodes_num	root	feature_importance	class_current_depth	L	feature_importance	class_current_depth	R	feature_importance	class_current_depth	L_L	feature_importance	class_current_depth	L_R	feature_importance	class_current_depth	R_L	feature_importance	class_current_depth	R_R	feature_importance	class_current_depth	L_L_L	feature_importance	class_current_depth	L_L_R	feature_importance	class_current_depth	L_R_L	feature_importance	class_current_depth	L_R_R	feature_importance	class_current_depth	R_L_L	feature_importance	class_current_depth	R_L_R	feature_importance	class_current_depth	R_R_L	feature_importance	class_current_depth	R_R_R	feature_importance	class_current_depth
11	8377	30	16753	19_C<=0.5	0.5021791366310382	Plant	9_C<=0.5	0.4275911435835411	Animal	4_U<=0.5	0.6545482049213392	Plant	23_U<=0.5	0.41329627499840266	Animal	22_C<=0.5	0.4761697969818695	Animal	8_G<=0.5	0.7035972067366939	Plant	13_C<=0.5	0.3550698674310283	Animal	18_U<=0.5	0.43022663178281406	Animal	24_A<=0.5	0.14698022447888828	Animal	13_C<=0.5	0.5080058224163028	Plant	25_G<=0.5	0.2047569803516029	Animal	13_U<=0.5	0.6319431629451928	Plant	15_U<=0.5	0.8287925197485088	Plant	9_U<=0.5	0.39614661654135336	Animal	12_G<=0.5	0.22322775263951736	Animal
12	8391	30	16781	19_C<=0.5	0.49977628635346755	Animal	22_U<=0.5	0.4278065672814795	Animal	23_G<=0.5	0.6490727532097005	Plant	2_A<=0.5	0.473131652012957	Animal	20_C<=0.5	0.17261032405145743	Animal	4_U<=0.5	0.6664374867780833	Plant	2_A<=0.5	0.19305555555555556	Animal	1_U<=0.5	0.511004153243023	Plant	1_G<=0.5	0.36241915352320436	Animal	2_G<=0.5	0.155724579663731	Animal	15_C<=0.5	0.2462882096069869	Animal	22_A<=0.5	0.7137062077443147	Plant	21_G<=0.5	0.3749052312357847	Animal	11_G<=0.5	0.2235294117647059	Animal	16_A<=0.5	0.11904761904761904	Animal
13	8400	30	16799	22_A<=0.5	0.4999254287844892	Animal	22_U<=0.5	0.5283522971432842	Plant	23_G<=0.5	0.27689827030196423	Animal	19_C<=0.5	0.5898141018589814	Plant	9_G<=0.5	0.18207734258800198	Animal	19_C<=0.5	0.2945032778618255	Animal	18_C<=0.5	0.15693012600229095	Animal	23_A<=0.5	0.5124746011125545	Plant	5_G<=0.5	0.740248801347674	Plant	23_U<=0.5	0.16004432483773942	Animal	2_C<=0.5	0.2615648201027984	Animal	20_U<=0.5	0.23547842853699685	Animal	8_C<=0.5	0.4305555555555556	Animal	14_A<=0.5	0.10319767441860465	Animal	24_C<=0.5	0.3567567567567568	Animal
14	8657	30	17313	1_A<=0.5	0.4959648686718038	Animal	21_U<=0.5	0.527141512394101	Plant	13_U<=0.5	0.37711323763955346	Animal	20_C<=0.5	0.5622801407099456	Plant	9_C<=0.5	0.39889115844762185	Animal	10_A<=0.5	0.39369579014173894	Animal	22_G<=0.5	0.3263123784834738	Animal	19_C<=0.5	0.5152440132272248	Plant	10_A<=0.5	0.6916541729135433	Plant	19_C<=0.5	0.3627959984804356	Animal	17_A<=0.5	0.5184563758389261	Plant	21_G<=0.5	0.3250267543189115	Animal	19_C<=0.5	0.5478887744593203	Plant	22_C<=0.5	0.36627450980392157	Animal	17_C<=0.5	0.13619402985074627	Animal
15	8377	30	16753	23_U<=0.5	0.4960477255779269	Animal	9_U<=0.5	0.5144001259027401	Plant	24_G<=0.5	0.16371120962634578	Animal	1_U<=0.5	0.5616689591930307	Plant	17_C<=0.5	0.3900177800355601	Animal	24_U<=0.5	0.14083008158921603	Animal	9_A<=0.5	0.35398230088495575	Animal	10_C<=0.5	0.446177597955707	Animal	22_U<=0.5	0.6574266166409182	Plant	7_G<=0.5	0.4187420178799489	Animal	21_A<=0.5	0.2782608695652174	Animal	5_U<=0.5	0.12313282196205087	Animal	17_G<=0.5	0.26900584795321636	Animal	13_C<=0.5	0.20089285714285715	Animal	18_U<=0.5	0.6521739130434783	Plant
16	8392	30	16783	22_U<=0.5	0.49520258513547105	Animal	20_G<=0.5	0.5441810551328977	Plant	6_U<=0.5	0.18206321979906886	Animal	22_C<=0.5	0.5775380088278568	Plant	22_G<=0.5	0.42488818731912653	Animal	26_U<=0.5	0.1995874161939144	Animal	5_G<=0.5	0.13859275053304904	Animal	9_G<=0.5	0.6126498553121125	Plant	1_A<=0.5	0.29410456062291435	Animal	23_G<=0.5	0.4840152755046372	Animal	16_C<=0.5	0.18275245755138517	Animal	20_U<=0.5	0.20079695079695078	Animal	8_G<=0.5	0.044444444444444446	Animal	2_U<=0.5	0.15123859191655803	Animal	11_G<=0.5	0.11467324290998766	Animal
17	8400	30	16799	22_U<=0.5	0.5042174165216671	Plant	19_C<=0.5	0.5539194125184066	Plant	21_U<=0.5	0.18152470821951824	Animal	23_U<=0.5	0.481507925174925	Animal	15_C<=0.5	0.7006830284788146	Plant	9_U<=0.5	0.2002020542178818	Animal	13_U<=0.5	0.12907801418439716	Animal	22_A<=0.5	0.49941139183192973	Animal	16_G<=0.5	0.1670201484623542	Animal	23_U<=0.5	0.7361784675072744	Plant	7_A<=0.5	0.5204081632653061	Plant	7_G<=0.5	0.23748176956733105	Animal	15_A<=0.5	0.11616438356164384	Animal	8_C<=0.5	0.1842560553633218	Animal	20_A<=0.5	0.06256517205422316	Animal
18	8319	30	16637	22_U<=0.5	0.4966940094456873	Animal	9_U<=0.5	0.5460903220861835	Plant	9_U<=0.5	0.18052489575668385	Animal	20_G<=0.5	0.5896251181350415	Plant	14_G<=0.5	0.42847010426271365	Animal	20_U<=0.5	0.21267474370922645	Animal	17_U<=0.5	0.11868053065614916	Animal	8_G<=0.5	0.6250921520005361	Plant	23_U<=0.5	0.4613333333333333	Animal	23_A<=0.5	0.37161872048089306	Animal	23_A<=0.5	0.5392013380723395	Plant	7_U<=0.5	0.24775632308947512	Animal	9_A<=0.5	0.1362559241706161	Animal	3_A<=0.5	0.10432692307692308	Animal	5_A<=0.5	0.1607898448519041	Animal
19	8271	30	16541	19_C<=0.5	0.49850028999917145	Animal	1_U<=0.5	0.4263622615737353	Animal	22_U<=0.5	0.651367137023828	Plant	9_U<=0.5	0.3695077796261865	Animal	22_U<=0.5	0.4828793774319066	Animal	12_G<=0.5	0.7026886982555127	Plant	3_G<=0.5	0.20070778564206268	Animal	22_C<=0.5	0.3967178770949721	Animal	22_U<=0.5	0.3058188950637463	Animal	9_U<=0.5	0.5340967065359107	Plant	21_U<=0.5	0.17334703665638918	Animal	3_U<=0.5	0.6501901140684411	Plant	8_G<=0.5	0.7944013917444251	Plant	18_U<=0.5	0.17113850616388687	Animal	20_U<=0.5	0.2687813021702838	Animal
20	8320	30	16639	22_A<=0.5	0.49884828900488853	Animal	22_U<=0.5	0.5267421505456441	Plant	19_C<=0.5	0.2735068451933203	Animal	23_C<=0.5	0.5866581901087338	Plant	1_G<=0.5	0.18856718634001485	Animal	10_C<=0.5	0.2293103448275862	Animal	17_C<=0.5	0.3756851021425012	Animal	8_C<=0.5	0.5966768731988472	Plant	7_G<=0.5	0.21583333333333332	Animal	8_A<=0.5	0.18269491985873404	Animal	2_G<=0.5	0.24861111111111112	Animal	20_A<=0.5	0.2454520011195074	Animal	18_C<=0.5	0.17525773195876287	Animal	23_G<=0.5	0.4365482233502538	Animal	9_U<=0.5	0.1531322505800464	Animal
